Timestamp (GMT+8),Date,Time,Open (USD),High (USD),Low (USD),Close (USD),Volume (CXMT),Notional (USD),Fully Diluted Val (USD),Fully Diluted Val (RMB)
2026-07-27 08:45:00,2026-07-27,08:45,6.6633,6.6804,6.5725,6.5969,58492.7,385870.49,441200672000.00,3198704872000.00
2026-07-27 08:50:00,2026-07-27,08:50,6.5952,6.6000,6.4517,6.5308,125311.3,818383.04,436779904000.00,3166654304000.00
2026-07-27 08:55:00,2026-07-27,08:55,6.5142,6.6880,6.5041,6.6321,48819.7,323777.13,443554848000.00,3215772648000.00
2026-07-27 09:00:00,2026-07-27,09:00,6.6231,6.8123,6.5732,6.7528,91650.3,618896.15,451627264000.00,3274297664000.00
2026-07-27 09:05:00,2026-07-27,09:05,6.7530,6.7843,6.5748,6.6431,69167.8,459488.61,444290528000.00,3221106328000.00
2026-07-27 09:10:00,2026-07-27,09:10,6.6376,6.6500,6.3174,6.3983,226837.3,1451373.10,427918304000.00,3102407704000.00
2026-07-27 09:15:00,2026-07-27,09:15,6.3983,7.0700,6.3778,6.9500,557423.3,3874091.94,464816000000.00,3369916000000.00
2026-07-27 09:20:00,2026-07-27,09:20,6.9469,7.2702,6.8714,7.1221,714598.5,5089441.98,476326048000.00,3453363848000.00
2026-07-27 09:25:00,2026-07-27,09:25,7.1003,7.1745,6.9370,7.1400,678619.2,4845341.09,477523200000.00,3462043200000.00
2026-07-27 09:30:00,2026-07-27,09:30,7.1230,7.1546,6.6400,6.7203,1003165.3,6741571.77,449453664000.00,3258539064000.00
2026-07-27 09:35:00,2026-07-27,09:35,6.7203,6.7290,6.3943,6.4319,1084124.7,6972981.66,430165472000.00,3118699672000.00
2026-07-27 09:40:00,2026-07-27,09:40,6.4503,6.4980,5.9640,6.2060,2813583.7,17461100.44,415057280000.00,3009165280000.00
2026-07-27 09:45:00,2026-07-27,09:45,6.2184,6.9500,6.2000,6.3180,1846489.1,11666118.13,422547840000.00,3063471840000.00
2026-07-27 09:50:00,2026-07-27,09:50,6.3180,6.7288,6.2581,6.5500,516309.0,3381823.95,438064000000.00,3175964000000.00
2026-07-27 09:55:00,2026-07-27,09:55,6.5332,6.8532,6.5329,6.8100,579363.6,3945466.12,455452800000.00,3302032800000.00
2026-07-27 10:00:00,2026-07-27,10:00,6.8100,7.1000,6.6219,6.7999,864405.1,5877868.24,454777312000.00,3297135512000.00
2026-07-27 10:05:00,2026-07-27,10:05,6.7999,7.0795,6.7429,6.9800,459559.7,3207726.71,466822400000.00,3384462400000.00
2026-07-27 10:10:00,2026-07-27,10:10,6.9799,7.0650,6.8100,6.9303,411102.8,2849065.73,463498464000.00,3360363864000.00
2026-07-27 10:15:00,2026-07-27,10:15,6.9414,7.0556,6.8149,7.0275,347084.2,2439134.22,469999200000.00,3407494200000.00
2026-07-27 10:20:00,2026-07-27,10:20,7.0300,7.0600,6.8636,6.9337,350135.0,2427731.05,463725856000.00,3362012456000.00
2026-07-27 10:25:00,2026-07-27,10:25,6.9338,6.9748,6.8434,6.9650,256197.9,1784418.37,465819200000.00,3377189200000.00
2026-07-27 10:30:00,2026-07-27,10:30,6.9650,6.9801,6.7000,6.8000,317927.9,2161909.72,454784000000.00,3297184000000.00
2026-07-27 10:35:00,2026-07-27,10:35,6.8116,6.9778,6.7639,6.9217,302572.7,2094317.46,462923296000.00,3356193896000.00
2026-07-27 10:40:00,2026-07-27,10:40,6.9216,7.0500,6.8395,7.0500,383168.9,2701340.75,471504000000.00,3418404000000.00
2026-07-27 10:45:00,2026-07-27,10:45,7.0448,7.2500,6.9594,7.1100,800661.8,5692705.40,475516800000.00,3447496800000.00
2026-07-27 10:50:00,2026-07-27,10:50,7.1100,7.1999,7.0100,7.0662,410809.2,2902859.97,472587456000.00,3426259056000.00
2026-07-27 10:55:00,2026-07-27,10:55,7.0661,7.1700,7.0000,7.1047,340474.3,2418967.76,475162336000.00,3444926936000.00
2026-07-27 11:00:00,2026-07-27,11:00,7.1047,7.2041,7.0200,7.2002,214903.2,1547346.02,481549376000.00,3491232976000.00
2026-07-27 11:05:00,2026-07-27,11:05,7.2002,7.3888,7.1681,7.3765,662797.7,4889127.23,493340320000.00,3576717320000.00
2026-07-27 11:10:00,2026-07-27,11:10,7.3765,7.4800,7.3000,7.4572,650360.7,4849869.81,498737536000.00,3615847136000.00
2026-07-27 11:15:00,2026-07-27,11:15,7.4600,7.5889,7.1389,7.3828,827757.6,6111168.81,493761664000.00,3579772064000.00
2026-07-27 11:20:00,2026-07-27,11:20,7.3799,7.3937,7.2062,7.3935,300993.5,2225395.44,494477280000.00,3584960280000.00
2026-07-27 11:25:00,2026-07-27,11:25,7.3936,7.5293,7.3520,7.4458,302526.8,2252554.05,497975104000.00,3610319504000.00
2026-07-27 11:30:00,2026-07-27,11:30,7.4458,7.5900,7.4306,7.5887,156037.9,1184124.81,507532256000.00,3679608856000.00
2026-07-27 11:35:00,2026-07-27,11:35,7.5793,7.6900,7.5651,7.5888,252655.4,1917351.30,507538944000.00,3679657344000.00
2026-07-27 11:40:00,2026-07-27,11:40,7.5871,7.6400,7.4723,7.4731,329436.7,2461913.40,499800928000.00,3623556728000.00
2026-07-27 11:45:00,2026-07-27,11:45,7.4733,7.5722,7.4035,7.4808,215232.2,1610109.04,500315904000.00,3627290304000.00
2026-07-27 11:50:00,2026-07-27,11:50,7.4732,7.5425,7.4094,7.5175,96107.8,722490.39,502770400000.00,3645085400000.00
2026-07-27 11:55:00,2026-07-27,11:55,7.5129,7.6400,7.4900,7.6017,137604.2,1046025.85,508401696000.00,3685912296000.00
2026-07-27 12:00:00,2026-07-27,12:00,7.5969,7.6163,7.4510,7.5252,186763.2,1405430.43,503285376000.00,3648818976000.00
2026-07-27 12:05:00,2026-07-27,12:05,7.5257,7.6100,7.5000,7.5990,73510.7,558607.81,508221120000.00,3684603120000.00
2026-07-27 12:10:00,2026-07-27,12:10,7.5990,7.6389,7.5200,7.6217,92074.7,701765.74,509739296000.00,3695609896000.00
2026-07-27 12:15:00,2026-07-27,12:15,7.6292,7.6640,7.5300,7.6532,114283.0,874630.66,511846016000.00,3710883616000.00
2026-07-27 12:20:00,2026-07-27,12:20,7.6558,7.6640,7.5010,7.5400,97966.4,738666.66,504275200000.00,3655995200000.00
2026-07-27 12:25:00,2026-07-27,12:25,7.5400,7.5504,7.4500,7.4618,119105.3,888739.93,499045184000.00,3618077584000.00
2026-07-27 12:30:00,2026-07-27,12:30,7.4552,7.5599,7.4500,7.5375,333862.8,2516490.85,504108000000.00,3654783000000.00
2026-07-27 12:35:00,2026-07-27,12:35,7.5375,7.5599,7.5030,7.5223,289455.1,2177368.10,503091424000.00,3647412824000.00
2026-07-27 12:40:00,2026-07-27,12:40,7.5261,7.5600,7.5211,7.5600,58779.5,444373.02,505612800000.00,3665692800000.00
2026-07-27 12:45:00,2026-07-27,12:45,7.5600,7.5740,7.5030,7.5585,76081.8,575064.29,505512480000.00,3664965480000.00
2026-07-27 12:50:00,2026-07-27,12:50,7.5587,7.5777,7.5239,7.5597,54650.2,413139.12,505592736000.00,3665547336000.00
2026-07-27 12:55:00,2026-07-27,12:55,7.5593,7.6320,7.5249,7.6320,119711.5,913638.17,510428160000.00,3700604160000.00
2026-07-27 13:00:00,2026-07-27,13:00,7.6310,7.7500,7.3220,7.4600,878703.5,6555128.11,498924800000.00,3617204800000.00
2026-07-27 13:05:00,2026-07-27,13:05,7.4562,7.5350,7.3857,7.4110,325616.6,2413144.62,495647680000.00,3593445680000.00
2026-07-27 13:10:00,2026-07-27,13:10,7.4664,7.4701,7.3100,7.4450,400762.6,2983677.56,497921600000.00,3609931600000.00
2026-07-27 13:15:00,2026-07-27,13:15,7.4449,7.4499,7.2300,7.2300,295231.5,2134523.75,483542400000.00,3505682400000.00
2026-07-27 13:20:00,2026-07-27,13:20,7.2661,7.3667,7.2140,7.2500,233428.4,1692355.90,484880000000.00,3515380000000.00
2026-07-27 13:25:00,2026-07-27,13:25,7.2500,7.3334,7.2215,7.3000,90817.1,662964.83,488224000000.00,3539624000000.00
2026-07-27 13:30:00,2026-07-27,13:30,7.3055,7.3179,6.9450,7.0404,625564.0,4404220.79,470861952000.00,3413749152000.00
2026-07-27 13:35:00,2026-07-27,13:35,7.0467,7.2488,6.9680,7.1130,331804.2,2360123.27,475717440000.00,3448951440000.00
2026-07-27 13:40:00,2026-07-27,13:40,7.1176,7.1800,7.0667,7.0841,152878.1,1083003.75,473784608000.00,3434938408000.00
2026-07-27 13:45:00,2026-07-27,13:45,7.0899,7.1580,7.0508,7.1579,126101.8,902624.07,478720352000.00,3470722552000.00
2026-07-27 13:50:00,2026-07-27,13:50,7.1579,7.1693,7.0641,7.1276,145932.6,1040149.20,476693888000.00,3456030688000.00
2026-07-27 13:55:00,2026-07-27,13:55,7.1204,7.1300,7.0600,7.0897,244286.4,1731917.29,474159136000.00,3437653736000.00
2026-07-27 14:00:00,2026-07-27,14:00,7.0921,7.0921,6.8121,6.8729,744833.1,5119163.41,459659552000.00,3332531752000.00
2026-07-27 14:05:00,2026-07-27,14:05,6.8632,7.0331,6.8265,6.9764,209306.3,1460204.47,466581632000.00,3382716832000.00
2026-07-27 14:10:00,2026-07-27,14:10,6.9765,6.9800,6.8111,6.8836,308138.5,2121102.18,460375168000.00,3337719968000.00
2026-07-27 14:15:00,2026-07-27,14:15,6.8830,7.0020,6.8830,6.9488,137814.6,957646.09,464735744000.00,3369334144000.00
2026-07-27 14:20:00,2026-07-27,14:20,6.9488,6.9900,6.9000,6.9500,117801.1,818717.65,464816000000.00,3369916000000.00
2026-07-27 14:25:00,2026-07-27,14:25,6.9577,7.0956,6.8900,7.0450,332090.8,2339579.69,471169600000.00,3415979600000.00
2026-07-27 14:30:00,2026-07-27,14:30,7.0565,7.0694,6.9000,7.0001,108386.3,758714.94,468166688000.00,3394208488000.00
2026-07-27 14:35:00,2026-07-27,14:35,7.0196,7.0288,6.9357,6.9357,111998.3,776786.61,463859616000.00,3362982216000.00
2026-07-27 14:40:00,2026-07-27,14:40,6.9428,7.0088,6.8456,7.0070,143597.9,1006190.49,468628160000.00,3397554160000.00
2026-07-27 14:45:00,2026-07-27,14:45,7.0086,7.0600,6.9800,7.0069,99394.4,696446.62,468621472000.00,3397505672000.00
2026-07-27 14:50:00,2026-07-27,14:50,7.0031,7.0199,6.9400,6.9731,124778.8,870095.05,466360928000.00,3381116728000.00
2026-07-27 14:55:00,2026-07-27,14:55,6.9757,7.0000,6.9500,6.9876,172280.2,1203825.13,467330688000.00,3388147488000.00
2026-07-27 15:00:00,2026-07-27,15:00,6.9820,7.0000,6.9000,6.9526,214479.6,1491190.87,464989888000.00,3371176688000.00
2026-07-27 15:05:00,2026-07-27,15:05,6.9414,6.9898,6.9364,6.9849,34413.3,240373.46,467150112000.00,3386838312000.00
2026-07-27 15:10:00,2026-07-27,15:10,6.9849,6.9849,6.9232,6.9500,41668.1,289593.29,464816000000.00,3369916000000.00
