datetime_utc,timestamp_ms,open,high,low,close,volume_shares,volume_usd,trade_count
2026-07-27 01:30:00+00:00,1785115800000,1173.0,1196.2,1172.9,1188.9,18358.779,21826752.3531,7652
2026-07-27 01:45:00+00:00,1785116700000,1189.0,1194.2,1180.5,1193.5,11381.409,13583711.6415,5623
2026-07-27 02:00:00+00:00,1785117600000,1193.7,1197.2,1182.6,1187.8,9619.177,11425658.440599998,5325
2026-07-27 02:15:00+00:00,1785118500000,1187.1,1204.3,1186.5,1201.2,11137.382,13378223.2584,4735
2026-07-27 02:30:00+00:00,1785119400000,1201.3,1206.9,1191.6,1203.2,5865.539,7057416.5248,3157
2026-07-27 02:45:00+00:00,1785120300000,1203.2,1205.7,1193.3,1197.0,7135.497,8541189.909,3332
2026-07-27 03:00:00+00:00,1785121200000,1196.8,1209.2,1195.5,1208.8,4261.929,5151819.7752,3275
2026-07-27 03:15:00+00:00,1785122100000,1208.8,1217.8,1206.5,1209.5,9872.748,11941088.706,5441
2026-07-27 03:30:00+00:00,1785123000000,1209.6,1209.6,1199.4,1202.5,4112.437,4945205.4925,2204
2026-07-27 03:45:00+00:00,1785123900000,1202.0,1203.2,1192.6,1197.5,3192.499,3823017.5524999998,1923
2026-07-27 04:00:00+00:00,1785124800000,1197.5,1203.5,1195.6,1199.3,5896.416,7071571.7088,3819
2026-07-27 04:15:00+00:00,1785125700000,1199.0,1212.0,1196.9,1201.4,7713.803,9267362.9242,3996
2026-07-27 04:30:00+00:00,1785126600000,1202.1,1213.0,1199.2,1211.0,3440.927,4166962.597,2364
2026-07-27 04:45:00+00:00,1785127500000,1211.3,1219.9,1209.0,1214.6,4990.837,6061870.6202,4685
2026-07-27 05:00:00+00:00,1785128400000,1214.8,1225.5,1212.0,1224.0,6501.981,7958424.744,5329
2026-07-27 05:15:00+00:00,1785129300000,1224.0,1237.9,1221.0,1235.2,5750.322,7102797.7344,4339
2026-07-27 05:30:00+00:00,1785130200000,1235.2,1237.7,1227.7,1227.9,3136.145,3850872.4455000004,2909
2026-07-27 05:45:00+00:00,1785131100000,1227.9,1233.0,1223.2,1229.3,3652.706,4490271.4858,2858
2026-07-27 06:00:00+00:00,1785132000000,1230.0,1243.4,1228.1,1240.0,4592.908,5695205.920000001,3691
2026-07-27 06:15:00+00:00,1785132900000,1240.2,1242.9,1233.2,1235.9,5932.098,7331479.9182,3852
2026-07-27 06:30:00+00:00,1785133800000,1235.1,1240.2,1234.2,1237.6,4384.687,5426488.6312,3665
2026-07-27 06:45:00+00:00,1785134700000,1237.6,1237.7,1234.8,1237.1,2347.166,2903679.0586,2677
2026-07-27 07:00:00+00:00,1785135600000,1237.1,1238.3,1233.7,1236.8,2179.344,2695412.6592,1947
2026-07-27 07:15:00+00:00,1785136500000,1236.8,1237.1,1232.7,1237.0,2154.36,2664943.3200000003,2252
2026-07-27 07:30:00+00:00,1785137400000,1237.1,1238.7,1236.1,1237.6,2341.021,2897247.5896,3356
2026-07-27 07:45:00+00:00,1785138300000,1237.5,1238.7,1233.1,1233.2,1209.249,1491245.8668000002,1825
2026-07-27 08:00:00+00:00,1785139200000,1233.5,1239.2,1233.5,1235.1,4067.853,5024205.2403,3392
2026-07-27 08:15:00+00:00,1785140100000,1235.1,1237.3,1233.5,1236.7,2156.65,2667129.055,2318
2026-07-27 08:30:00+00:00,1785141000000,1236.7,1237.3,1235.2,1235.9,1102.229,1362244.8211,1520
2026-07-27 08:45:00+00:00,1785141900000,1236.3,1238.1,1234.7,1236.9,1626.534,2011859.9046000002,1551
2026-07-27 09:00:00+00:00,1785142800000,1236.9,1237.0,1234.7,1236.0,1355.941,1675943.0760000001,1369
2026-07-27 09:15:00+00:00,1785143700000,1236.0,1236.8,1235.2,1235.3,451.039,557168.4767,847
2026-07-27 09:30:00+00:00,1785144600000,1235.3,1237.4,1234.4,1237.1,1914.522,2368455.1662,1494
2026-07-27 09:45:00+00:00,1785145500000,1237.3,1240.4,1237.0,1238.5,2457.508,3043623.658,2013
2026-07-27 10:00:00+00:00,1785146400000,1238.4,1239.5,1235.1,1235.1,2601.511,3213126.2361,1483
2026-07-27 10:15:00+00:00,1785147300000,1235.3,1236.3,1234.7,1235.8,630.107,778686.2305999999,863
2026-07-27 10:30:00+00:00,1785148200000,1235.9,1236.3,1233.5,1234.4,1046.035,1291225.6040000003,1139
2026-07-27 10:45:00+00:00,1785149100000,1234.4,1239.1,1234.4,1237.0,1382.212,1709796.244,1259
2026-07-27 11:00:00+00:00,1785150000000,1237.1,1237.1,1228.6,1231.6,2524.789,3109530.1324,2197
2026-07-27 11:15:00+00:00,1785150900000,1231.6,1231.9,1222.0,1222.0,976.737,1193572.614,1526
2026-07-27 11:30:00+00:00,1785151800000,1222.1,1226.8,1221.6,1225.3,877.342,1075007.1526,1441
2026-07-27 11:45:00+00:00,1785152700000,1225.4,1227.6,1222.8,1225.7,495.479,607308.6103000001,819
2026-07-27 12:00:00+00:00,1785153600000,1225.5,1229.2,1219.9,1220.1,1096.753,1338148.3353,1261
2026-07-27 12:15:00+00:00,1785154500000,1219.9,1223.4,1217.3,1219.9,1236.075,1507887.8925,1208
2026-07-27 12:30:00+00:00,1785155400000,1219.6,1223.2,1214.6,1223.1,1458.519,1783914.5888999999,1469
2026-07-27 12:45:00+00:00,1785156300000,1223.0,1228.6,1222.6,1228.6,793.15,974464.0899999999,1008
2026-07-27 13:00:00+00:00,1785157200000,1229.1,1229.9,1221.2,1225.5,2657.955,3257323.8525,2795
2026-07-27 13:15:00+00:00,1785158100000,1225.2,1227.3,1214.5,1214.7,2947.586,3580432.7142,3162
2026-07-27 13:30:00+00:00,1785159000000,1214.9,1215.5,1188.5,1193.8,20240.413,24163005.0394,10681
2026-07-27 13:45:00+00:00,1785159900000,1193.8,1198.7,1174.7,1177.2,17883.979,21053020.0788,10009
2026-07-27 14:00:00+00:00,1785160800000,1177.5,1178.1,1157.3,1159.1,24307.339,28174636.634899996,12263
2026-07-27 14:15:00+00:00,1785161700000,1158.8,1165.7,1134.0,1134.8,25132.691,28520577.746799998,12061
